column_name,source_table,data_type,description,used_for_model
high_rating_flag,engineered,int64,Indicator that merchant rating is at least 4.5.,yes
open_and_high_rating_flag,engineered,int64,Indicator that merchant appears open now and has a high rating.,yes
require_open_now_missing,engineered,int64,Dataset column `require_open_now_missing` carried into the model-ready ranking table.,yes
require_open_now_filled,engineered,float64,Dataset column `require_open_now_filled` carried into the model-ready ranking table.,yes
min_rating_missing,engineered,int64,Dataset column `min_rating_missing` carried into the model-ready ranking table.,yes
min_rating_filled,engineered,float64,Dataset column `min_rating_filled` carried into the model-ready ranking table.,yes
radius_km_missing,engineered,int64,Dataset column `radius_km_missing` carried into the model-ready ranking table.,yes
radius_km_filled,engineered,float64,Dataset column `radius_km_filled` carried into the model-ready ranking table.,yes
max_corridor_km_missing,engineered,int64,Dataset column `max_corridor_km_missing` carried into the model-ready ranking table.,yes
max_corridor_km_filled,engineered,float64,Dataset column `max_corridor_km_filled` carried into the model-ready ranking table.,yes
latitude_missing,engineered,int64,Dataset column `latitude_missing` carried into the model-ready ranking table.,yes
latitude_filled,engineered,float64,Dataset column `latitude_filled` carried into the model-ready ranking table.,yes
longitude_missing,engineered,int64,Dataset column `longitude_missing` carried into the model-ready ranking table.,yes
longitude_filled,engineered,float64,Dataset column `longitude_filled` carried into the model-ready ranking table.,yes
rating_missing,engineered,int64,Dataset column `rating_missing` carried into the model-ready ranking table.,yes
rating_filled,engineered,float64,Dataset column `rating_filled` carried into the model-ready ranking table.,yes
review_count_source_missing,engineered,int64,Dataset column `review_count_source_missing` carried into the model-ready ranking table.,yes
review_count_source_filled,engineered,int64,Dataset column `review_count_source_filled` carried into the model-ready ranking table.,yes
is_open_now_proxy_missing,engineered,int64,Dataset column `is_open_now_proxy_missing` carried into the model-ready ranking table.,yes
is_open_now_proxy_filled,engineered,float64,Dataset column `is_open_now_proxy_filled` carried into the model-ready ranking table.,yes
rating_score_missing,engineered,int64,Dataset column `rating_score_missing` carried into the model-ready ranking table.,yes
rating_score_filled,engineered,float64,Dataset column `rating_score_filled` carried into the model-ready ranking table.,yes
review_volume_score_missing,engineered,int64,Dataset column `review_volume_score_missing` carried into the model-ready ranking table.,yes
review_volume_score_filled,engineered,float64,Dataset column `review_volume_score_filled` carried into the model-ready ranking table.,yes
trust_score_missing,engineered,int64,Dataset column `trust_score_missing` carried into the model-ready ranking table.,yes
trust_score_filled,engineered,float64,Dataset column `trust_score_filled` carried into the model-ready ranking table.,yes
open_score_missing,engineered,int64,Dataset column `open_score_missing` carried into the model-ready ranking table.,yes
open_score_filled,engineered,float64,Dataset column `open_score_filled` carried into the model-ready ranking table.,yes
service_richness_score_missing,engineered,int64,Dataset column `service_richness_score_missing` carried into the model-ready ranking table.,yes
service_richness_score_filled,engineered,float64,Dataset column `service_richness_score_filled` carried into the model-ready ranking table.,yes
unclaimed_penalty_missing,engineered,int64,Dataset column `unclaimed_penalty_missing` carried into the model-ready ranking table.,yes
unclaimed_penalty_filled,engineered,float64,Dataset column `unclaimed_penalty_filled` carried into the model-ready ranking table.,yes
base_rank_score_missing,engineered,int64,Dataset column `base_rank_score_missing` carried into the model-ready ranking table.,yes
base_rank_score_filled,engineered,float64,Dataset column `base_rank_score_filled` carried into the model-ready ranking table.,yes
rank_position_missing,engineered,int64,Dataset column `rank_position_missing` carried into the model-ready ranking table.,yes
rank_position_filled,engineered,float64,Dataset column `rank_position_filled` carried into the model-ready ranking table.,yes
final_rank_score_missing,engineered,int64,Dataset column `final_rank_score_missing` carried into the model-ready ranking table.,yes
final_rank_score_filled,engineered,float64,Dataset column `final_rank_score_filled` carried into the model-ready ranking table.,yes
distance_km_missing,engineered,int64,Dataset column `distance_km_missing` carried into the model-ready ranking table.,yes
distance_km_filled,engineered,float64,Dataset column `distance_km_filled` carried into the model-ready ranking table.,yes
route_distance_proxy_missing,engineered,int64,Dataset column `route_distance_proxy_missing` carried into the model-ready ranking table.,yes
route_distance_proxy_filled,engineered,float64,Dataset column `route_distance_proxy_filled` carried into the model-ready ranking table.,yes
detour_proxy_missing,engineered,int64,Dataset column `detour_proxy_missing` carried into the model-ready ranking table.,yes
detour_proxy_filled,engineered,float64,Dataset column `detour_proxy_filled` carried into the model-ready ranking table.,yes
reciprocal_rank_missing,engineered,int64,Dataset column `reciprocal_rank_missing` carried into the model-ready ranking table.,yes
reciprocal_rank_filled,engineered,float64,Dataset column `reciprocal_rank_filled` carried into the model-ready ranking table.,yes
